stat_week,m,d,user id,stats_trackers_created,stats_sent_notifications_desktop,stats_gmail_insights_viewed,stats_insights_viewed,stats_activities_zapier,stats_stream_viewed
42,10,24,137,1,1,15,0,0,5
42,10,24,138,1,1,0,0,0,3
42,10,24,139,1,1,0,0,0,0
42,10,24,140,2,4,1,0,0,15
42,10,24,141,1,1,0,0,0,9
42,10,24,142,1,0,1,0,0,1
42,10,24,143,1,0,7,0,0,4
42,10,24,144,1,1,14,0,0,3
42,10,24,145,1,2,2,0,0,5
42,10,24,146,1,1,0,0,0,2
42,10,24,147,2,1,10,0,0,3
42,10,24,148,1,1,0,0,0,4
42,10,24,149,2,3,0,0,0,4
42,10,24,150,1,1,0,0,0,2
42,10,24,151,4,4,9,0,0,8
42,10,24,152,1,1,1,0,0,4
42,10,24,153,1,1,1,0,0,6
42,10,24,154,1,1,1,0,0,2
42,10,24,155,2,2,4,0,0,4
42,10,24,156,1,1,0,0,0,1
42,10,24,157,7,6,27,0,0,5
42,10,24,158,2,1,3,0,0,0
42,10,24,159,2,1,2,0,0,4
42,10,24,160,1,1,0,0,0,4
42,10,24,161,1,1,1,0,0,3
42,10,24,162,3,8,4,0,0,3
42,10,24,163,1,1,0,0,0,2
42,10,24,164,1,1,1,0,0,1
42,10,24,165,3,2,4,0,0,1
42,10,24,166,2,1,2,0,0,3
42,10,24,167,1,1,1,0,0,2
42,10,24,168,4,2,0,0,0,3
42,10,24,169,4,2,3,0,0,2
42,10,24,170,1,1,1,0,0,4
42,10,24,171,1,1,3,0,0,1
42,10,24,172,1,1,1,0,0,2
42,10,24,173,1,1,6,0,0,12
42,10,24,174,2,1,7,0,0,3
42,10,24,175,1,1,0,0,0,1
42,10,24,176,1,1,5,0,0,2
42,10,24,177,4,3,9,0,0,4
42,10,24,178,3,5,8,0,0,1
42,10,24,179,5,15,12,0,0,9
42,10,24,180,1,1,1,0,0,1
42,10,24,181,1,1,1,0,0,1
42,10,24,182,2,1,2,0,0,12
42,10,24,183,4,1,4,0,0,4
42,10,24,184,1,1,0,0,0,1
42,10,24,185,5,5,20,0,0,6
42,10,24,186,1,2,4,0,0,6
42,10,24,187,1,1,4,0,0,4
42,10,24,188,4,3,0,0,0,2
42,10,24,189,1,1,1,0,0,4
42,10,24,190,3,1,31,0,0,7
42,10,24,191,1,1,7,0,0,5
42,10,24,192,1,1,3,0,0,2
42,10,24,193,7,1,11,0,0,8
42,10,24,194,2,7,0,0,0,2
42,10,24,195,3,2,2,0,0,2
42,10,24,196,1,1,2,0,0,0
42,10,24,197,1,2,1,0,0,8
42,10,24,198,1,1,5,0,0,1
42,10,24,199,1,2,2,0,0,3
42,10,24,200,2,4,0,0,0,2
42,10,24,201,1,1,1,0,0,1
42,10,24,202,1,1,0,0,0,1
42,10,24,203,1,1,0,0,0,1
42,10,24,204,4,1,9,0,0,2
42,10,24,205,1,2,0,0,0,5
42,10,24,206,1,1,0,0,0,3
42,10,24,207,1,1,3,0,0,2
42,10,24,208,1,1,2,0,0,2
42,10,24,209,2,1,3,0,0,6
42,10,24,210,1,1,0,0,0,6
42,10,24,211,5,4,2,0,0,6
42,10,24,212,1,1,1,0,0,2
42,10,24,213,1,1,0,0,0,3
42,10,24,214,1,1,1,0,0,1
42,10,24,215,1,3,8,0,0,2
42,10,24,216,2,2,0,0,0,4
42,10,24,217,5,9,24,0,0,6
42,10,24,218,1,1,1,0,0,4
42,10,24,219,1,2,2,0,0,4
42,10,24,220,5,2,15,0,0,4
42,10,24,221,10,41,0,0,0,14
42,10,24,222,1,1,1,0,0,2
42,10,24,223,2,4,11,0,0,4
42,10,24,224,1,1,6,0,0,3
42,10,24,225,3,2,10,0,0,4
42,10,24,226,2,1,1,0,0,2
42,10,24,227,1,0,0,0,0,4
42,10,24,228,1,1,2,0,0,1
42,10,24,229,2,0,1,0,0,1
42,10,24,230,8,7,9,0,0,9
42,10,24,231,1,1,0,0,0,0
42,10,24,232,1,1,10,0,0,5
42,10,24,233,1,2,1,0,0,4
42,10,24,234,1,1,10,0,0,4
42,10,24,235,2,1,2,0,0,2
42,10,24,236,2,1,1,0,0,6
42,10,24,237,1,1,2,0,0,3
42,10,24,238,5,11,34,0,0,1
42,10,24,239,9,32,20,0,0,0
42,10,24,240,1,1,2,0,0,3
42,10,24,241,1,1,1,0,0,3
42,10,24,242,1,1,3,0,0,1
42,10,24,243,5,1,8,0,0,4
42,10,24,244,1,1,0,0,0,1
42,10,24,245,1,1,1,0,0,2
42,10,24,246,3,6,5,0,0,7
42,10,24,247,2,0,1,0,0,1
42,10,24,248,1,1,7,0,0,3
42,10,24,249,3,13,1,0,0,1
42,10,24,250,4,5,5,0,0,7
42,10,24,251,2,14,0,0,0,3
42,10,24,252,2,1,2,0,0,3
42,10,24,253,1,1,1,0,0,2
42,10,24,254,1,1,0,0,0,5
42,10,24,255,1,1,1,0,0,1
42,10,23,256,1,1,0,0,0,5
42,10,23,257,1,1,2,0,0,1
42,10,23,258,1,2,31,3,0,4
42,10,23,259,1,1,0,0,0,2
42,10,23,260,3,12,22,0,0,8
42,10,23,261,2,1,3,0,0,8
42,10,23,262,1,1,0,0,0,3
42,10,23,263,1,1,0,0,0,3
42,10,23,264,1,2,4,0,0,5
42,10,23,265,1,1,4,0,0,1
42,10,23,266,1,1,0,0,0,7
42,10,23,267,10,10,19,0,0,4
42,10,23,268,1,2,1,0,0,3
42,10,23,269,1,3,7,0,0,4
42,10,23,270,1,1,0,0,0,4
42,10,23,271,1,1,6,0,0,2
42,10,23,272,1,1,1,0,0,2
42,10,23,273,1,1,0,0,0,9
42,10,23,274,1,1,15,0,0,3
42,10,23,275,22,16,3,0,0,1
42,10,23,276,1,1,0,0,0,3
42,10,23,277,3,4,0,0,0,8
42,10,23,278,2,2,2,0,0,2
42,10,23,279,1,1,2,0,0,1
42,10,23,280,6,3,4,0,0,5
42,10,23,281,2,2,2,0,0,0
42,10,23,282,1,1,1,0,0,5
42,10,23,283,1,1,3,0,0,4
42,10,23,284,1,1,1,0,0,5
42,10,23,285,1,3,0,0,0,6
42,10,23,286,1,1,1,0,0,4
42,10,23,287,2,1,1,0,0,2
42,10,23,288,2,5,2,0,0,3
42,10,23,289,3,1,0,0,0,5
42,10,23,290,1,1,2,0,0,2
42,10,23,291,1,1,0,0,0,2
42,10,23,292,2,2,1,0,0,4
42,10,23,293,1,1,0,0,0,4
42,10,23,294,1,1,0,0,0,2
42,10,23,295,3,0,0,0,0,7
42,10,23,296,1,2,1,0,0,4
42,10,23,297,1,1,0,0,0,3
42,10,23,298,1,1,0,0,0,1
42,10,23,299,1,1,0,0,0,2
42,10,23,300,1,2,1,0,0,2
42,10,23,301,2,1,2,0,0,4
42,10,23,302,1,1,1,0,0,2
42,10,23,303,5,10,7,0,0,3
42,10,23,304,1,1,3,0,0,5
42,10,23,305,1,1,0,0,0,2
42,10,23,306,1,1,0,0,0,2
42,10,23,307,1,0,0,0,0,1
42,10,23,308,6,18,30,0,0,4
42,10,23,309,1,1,1,0,0,2
42,10,23,310,1,1,1,0,0,2
42,10,23,311,1,1,0,0,0,2
42,10,23,312,2,2,27,0,0,3
42,10,23,313,1,1,6,0,0,4
42,10,23,314,3,3,0,0,0,1
42,10,23,315,1,1,20,0,0,1
42,10,23,316,2,1,1,0,0,4
42,10,23,317,1,1,0,0,0,2
42,10,23,318,3,0,5,0,0,1
42,10,23,319,1,1,0,0,0,2
42,10,23,320,2,1,2,0,0,1
42,10,23,321,2,1,1,0,0,4
42,10,23,322,14,52,0,0,0,0
42,10,23,323,2,1,3,0,0,8
42,10,23,324,1,4,1,0,0,5
42,10,23,325,4,2,21,0,0,6
42,10,23,326,1,1,7,0,0,1
42,10,23,327,2,1,0,0,0,2
42,10,23,328,1,2,0,0,0,4
42,10,23,329,3,3,19,0,0,2
42,10,23,330,1,1,0,0,0,6
42,10,23,331,1,1,2,0,0,16
42,10,23,332,1,1,1,0,0,0
42,10,23,333,6,4,4,0,0,3
42,10,23,334,2,0,1,0,0,1
42,10,23,335,1,1,0,0,0,4
42,10,23,336,1,0,0,0,0,0
42,10,23,337,1,1,0,0,0,2
42,10,23,338,1,2,0,0,0,1
42,10,23,339,1,1,0,0,0,1
42,10,23,340,1,1,0,0,0,4
42,10,23,341,1,1,1,0,0,4
42,10,23,342,1,1,2,0,0,2
42,10,23,343,2,1,0,0,0,2
42,10,23,344,7,3,0,0,0,3
42,10,23,345,5,6,8,0,0,5
42,10,23,346,1,1,4,0,0,5
42,10,23,347,2,1,9,0,0,3
42,10,23,348,6,17,29,0,0,3
42,10,23,349,3,16,12,0,0,4
42,10,23,350,1,1,1,0,0,2
42,10,23,351,2,4,1,0,0,4
42,10,23,352,1,1,0,0,0,2
42,10,23,353,1,2,0,0,0,2
42,10,23,354,2,1,10,0,0,2
42,10,23,355,1,1,0,0,0,4
42,10,23,356,1,1,2,0,0,1
42,10,23,357,5,7,10,0,0,5
42,10,23,358,1,1,1,0,0,2
42,10,23,359,1,1,0,0,0,2
42,10,23,360,4,3,1,0,0,9
42,10,23,361,3,1,8,0,0,1
42,10,23,362,1,1,0,0,0,2
42,10,23,363,1,1,1,0,0,3
42,10,23,364,1,1,0,0,0,2
42,10,23,365,2,0,1,0,0,1
42,10,23,366,2,1,1,0,0,5
42,10,23,367,3,4,4,0,0,1
42,10,23,368,1,1,2,0,0,2
42,10,23,369,3,2,0,0,0,9
42,10,23,370,5,22,69,0,0,3
42,10,23,371,1,1,0,0,0,3
42,10,23,372,1,1,0,0,0,2
42,10,23,373,2,3,4,0,0,4
42,10,23,374,2,5,4,0,0,5
42,10,23,375,1,1,0,0,0,2
42,10,23,376,3,0,0,0,0,0
42,10,23,377,2,2,1,0,0,3
42,10,23,378,2,2,3,0,0,4
42,10,23,379,1,1,1,0,0,4
42,10,23,380,1,1,1,0,0,2
42,10,23,381,1,1,0,0,0,2
42,10,23,382,2,1,5,0,0,3
42,10,23,383,1,0,0,0,0,4
42,10,23,384,1,1,0,0,0,2
42,10,23,385,1,1,0,0,0,8
42,10,23,386,1,1,1,0,0,4
42,10,22,387,2,2,3,0,0,4
42,10,22,388,2,3,0,0,0,1
42,10,22,389,1,1,0,0,0,2
42,10,22,390,4,5,0,0,0,2
42,10,22,391,3,2,2,0,0,3
42,10,22,392,3,6,4,0,0,6
42,10,22,393,1,2,3,0,0,3
42,10,22,394,3,4,11,0,0,3
42,10,22,395,4,6,25,0,0,3
42,10,22,396,1,1,1,0,0,2
42,10,22,397,2,2,2,0,0,5
42,10,22,398,1,1,3,0,0,2
42,10,22,399,1,1,1,0,0,3
42,10,22,400,1,2,1,0,0,6
42,10,22,401,1,3,4,0,0,1
42,10,22,402,1,1,0,0,0,4
42,10,22,403,1,2,1,0,0,7
42,10,22,404,1,1,0,0,0,1
42,10,22,405,2,2,2,0,0,3
42,10,22,406,7,6,6,0,0,1
42,10,22,407,1,3,1,0,0,3
42,10,22,408,1,5,0,0,0,2
42,10,22,409,1,1,10,0,0,1
42,10,22,410,1,3,0,0,0,5
42,10,22,411,1,1,1,0,0,1
42,10,22,412,6,7,6,0,0,1
42,10,22,413,1,1,1,0,0,2
42,10,22,414,2,1,3,0,0,2
42,10,22,415,4,3,2,0,0,7
42,10,22,416,1,2,2,0,0,5
42,10,22,417,9,5,11,0,0,1
42,10,22,418,1,1,0,0,0,2
42,10,22,419,1,2,1,0,0,7
42,10,22,420,2,1,3,0,0,6
42,10,22,421,2,2,1,0,0,7
42,10,22,422,1,2,2,0,0,5
42,10,22,423,1,2,0,0,0,3
42,10,22,424,1,1,0,0,0,2
42,10,22,425,1,1,0,0,0,5
42,10,22,426,1,2,0,0,0,3
42,10,22,427,1,1,2,0,0,5
42,10,22,428,1,2,0,0,0,6
42,10,22,429,2,1,6,0,0,1
42,10,22,430,2,1,5,0,0,2
42,10,22,431,1,1,0,0,0,1
42,10,22,432,1,1,2,0,0,1
42,10,22,433,1,1,0,0,0,2
42,10,22,434,1,2,1,0,0,5
42,10,22,435,1,2,2,0,0,3
42,10,22,436,4,4,9,0,0,3
42,10,22,437,7,6,19,0,0,7
42,10,22,438,1,0,1,0,0,1
42,10,22,439,2,3,1,0,0,1
42,10,22,440,3,2,0,0,0,3
42,10,22,441,1,1,0,0,0,3
42,10,22,442,2,7,5,0,0,4
42,10,22,443,2,4,1,0,0,6
42,10,22,444,2,3,0,0,0,10
42,10,22,445,1,2,1,0,0,4
42,10,22,446,1,1,1,0,0,3
42,10,22,447,1,2,10,0,0,1
42,10,22,448,24,38,32,0,0,10
42,10,22,449,1,1,1,0,0,1
42,10,22,450,1,2,0,0,0,3
42,10,22,451,4,6,1,0,0,2
42,10,22,452,4,4,10,0,0,8
42,10,22,453,1,1,6,0,0,1
42,10,22,454,5,2,0,0,0,5
42,10,22,455,1,0,0,0,0,1
42,10,22,456,2,1,4,0,0,6
42,10,22,457,1,1,0,0,0,1
42,10,22,458,1,1,0,0,0,2
42,10,22,459,1,1,0,0,0,2
42,10,22,460,1,1,4,0,0,1
42,10,22,461,2,1,1,0,0,4
42,10,22,462,1,1,0,0,0,1
42,10,22,463,1,0,5,0,0,4
42,10,22,464,2,3,1,0,0,6
42,10,22,465,1,1,0,0,0,3
42,10,22,466,1,1,0,0,0,0
42,10,22,467,1,2,0,0,0,1
42,10,22,468,3,2,3,0,0,3
42,10,22,469,1,1,1,0,0,3
42,10,22,470,3,2,4,0,0,4
42,10,22,471,1,0,0,0,0,1
42,10,22,472,4,5,29,0,0,3
42,10,22,473,1,1,0,0,0,1
42,10,22,474,26,111,20,0,0,5
42,10,22,475,1,1,1,0,0,3
42,10,22,476,1,1,0,0,0,4
42,10,22,477,1,4,12,0,0,3
42,10,22,478,2,1,74,0,0,3
42,10,22,479,1,1,0,0,0,3
42,10,22,480,4,4,9,0,0,3
42,10,22,481,1,1,0,0,0,4
42,10,22,482,2,2,0,1,0,13
42,10,22,483,1,4,0,0,0,2
42,10,22,484,2,2,1,0,0,2
42,10,22,485,1,1,0,0,0,4
42,10,22,486,1,2,0,0,0,2
42,10,22,487,2,3,0,0,0,6
42,10,22,488,1,2,0,0,0,4
42,10,22,489,2,3,13,0,0,1
42,10,22,490,1,2,0,0,0,3
42,10,22,491,2,2,1,0,0,8
42,10,22,492,2,2,2,0,0,3
42,10,22,493,1,2,0,0,0,0
42,10,22,494,1,1,4,0,0,2
42,10,22,495,1,1,4,0,0,2
42,10,22,496,1,1,0,0,0,2
42,10,22,497,1,2,0,0,0,3
42,10,22,498,1,1,0,0,0,2
42,10,22,499,1,1,0,0,0,2
42,10,22,500,1,1,0,0,0,1
42,10,22,501,1,1,0,0,0,2
42,10,22,502,1,1,9,0,0,1
42,10,22,503,1,1,0,0,0,2
42,10,22,504,1,1,0,0,0,1
42,10,22,505,4,4,3,0,0,5
42,10,22,506,1,1,0,0,0,4
42,10,22,507,6,41,0,0,0,1
42,10,22,508,1,1,0,0,0,7
42,10,22,509,3,2,1,0,0,5
42,10,22,510,2,0,2,0,0,2
42,10,22,511,14,39,48,0,0,4
42,10,22,512,1,1,0,0,0,1
42,10,22,513,2,3,2,0,0,3
42,10,22,514,1,2,0,0,0,3
42,10,22,515,1,3,0,0,0,5
42,10,22,516,1,1,1,0,0,1
42,10,21,517,1,1,2,0,0,4
42,10,21,518,1,4,0,0,0,3
42,10,21,519,1,1,0,0,0,1
42,10,21,520,1,1,1,0,0,1
42,10,21,521,5,7,28,0,0,18
42,10,21,522,2,4,4,0,0,2
42,10,21,523,1,2,1,0,0,10
42,10,21,524,1,1,0,0,0,1
42,10,21,525,1,1,0,0,0,4
42,10,21,526,1,2,0,0,0,3
42,10,21,527,2,1,1,0,0,4
42,10,21,528,1,1,2,0,0,2
42,10,21,529,1,2,1,0,0,3
42,10,21,530,2,1,1,0,0,5
42,10,21,531,2,1,2,6,0,2
42,10,21,532,1,1,1,0,0,1
42,10,21,533,2,2,7,0,0,3
42,10,21,534,1,1,0,0,0,2
42,10,21,535,1,3,1,0,0,4
42,10,21,536,1,2,0,0,0,0
42,10,21,537,1,1,0,0,0,3
42,10,21,538,4,4,3,0,0,6
42,10,21,539,3,1,10,0,0,2
42,10,21,540,1,1,0,0,0,2
42,10,21,541,1,1,0,0,0,5
42,10,21,542,1,2,2,0,0,4
42,10,21,543,2,1,2,0,0,4
42,10,21,544,1,2,0,0,0,4
42,10,21,545,1,1,4,0,0,2
42,10,21,546,5,9,11,0,0,9
42,10,21,547,3,1,5,0,0,4
42,10,21,548,4,3,31,0,0,2
42,10,21,549,1,1,7,0,0,3
42,10,21,550,1,2,0,0,0,6
42,10,21,551,1,2,0,0,0,2
42,10,21,552,1,1,0,0,0,3
42,10,21,553,1,2,0,0,0,5
42,10,21,554,1,1,0,0,0,1
42,10,21,555,5,5,10,0,0,4
42,10,21,556,2,2,0,0,0,5
42,10,21,557,4,5,15,0,0,1
42,10,21,558,2,1,8,0,0,3
42,10,21,559,1,1,1,0,0,1
42,10,21,560,3,3,21,0,0,2
42,10,21,561,2,2,0,0,0,2
42,10,21,562,1,1,0,0,0,3
42,10,21,563,2,2,7,0,0,2
42,10,21,564,1,3,2,0,0,5
42,10,21,565,3,12,13,0,0,1
42,10,21,566,1,1,0,0,0,3
42,10,21,567,1,2,0,0,0,0
42,10,21,568,1,1,0,0,0,2
42,10,21,569,1,1,0,0,0,2
42,10,21,570,3,1,13,0,0,1
42,10,21,571,1,5,4,0,0,2
42,10,21,572,2,3,1,0,0,1
42,10,21,573,1,2,0,0,0,6
42,10,21,574,1,3,0,0,0,1
42,10,21,575,1,1,4,0,0,1
42,10,21,576,1,2,0,0,0,11
42,10,21,577,5,10,2,0,0,4
42,10,21,578,1,2,0,0,0,4
42,10,21,579,1,1,0,0,0,3
42,10,21,580,1,2,0,0,0,2
42,10,21,581,4,3,13,0,0,2
42,10,21,582,2,1,1,0,0,1
42,10,21,583,2,2,19,0,0,3
42,10,21,584,1,2,0,0,0,0
42,10,21,585,2,2,4,0,0,3
42,10,21,586,1,2,0,0,0,3
42,10,21,587,1,1,0,0,0,1
42,10,21,588,1,2,1,0,0,4
42,10,21,589,6,15,5,0,0,12
42,10,21,590,2,2,2,0,0,9
42,10,21,591,1,1,2,0,0,2
42,10,21,592,1,1,0,0,0,2
42,10,21,593,1,2,0,0,0,4
42,10,21,594,1,1,1,0,0,1
42,10,21,595,1,3,0,0,0,4
42,10,21,596,1,3,3,0,0,1
42,10,21,597,3,2,0,0,0,5
42,10,21,598,1,1,0,0,0,2
42,10,21,599,1,2,1,0,0,1
42,10,21,600,1,2,0,0,0,6
42,10,21,601,2,2,1,0,0,1
42,10,21,602,6,10,8,0,0,6
42,10,21,603,1,1,0,0,0,2
42,10,21,604,1,4,1,0,0,2
42,10,21,605,1,2,1,0,0,2
42,10,21,606,1,2,3,0,0,2
42,10,21,607,1,2,1,0,0,0
42,10,21,608,1,3,0,0,0,2
42,10,21,609,1,1,5,0,0,1
42,10,21,610,1,2,0,0,0,1
42,10,21,611,5,14,28,0,0,1
42,10,21,612,1,1,5,0,0,2
42,10,21,613,1,0,12,0,0,0
42,10,21,614,1,0,0,0,0,0
42,10,21,615,1,1,0,0,0,4
42,10,21,616,1,2,0,0,0,3
42,10,21,617,1,1,11,0,0,2
42,10,21,618,1,2,0,0,0,5
42,10,21,619,1,1,4,0,0,2
42,10,21,620,1,1,0,0,0,3
42,10,21,621,2,3,2,0,0,5
42,10,21,622,2,1,1,0,0,5
42,10,21,623,1,2,0,0,0,4
42,10,21,624,1,1,11,0,0,2
42,10,21,625,1,1,1,0,0,1
42,10,21,626,4,6,0,0,0,0
42,10,21,627,1,1,2,0,0,1
42,10,21,628,1,1,0,0,0,2
42,10,21,629,1,1,4,0,0,2
